[conf]                N               3
[conf]                J            2.069
[conf]             beta           1.000
[conf]              dt0       4.000e-01
[conf]        eps_trunc       1.000e-04
[conf]           eps_dt       9.000e-02
[conf]          eps_tol       1.000e-03
[conf]             Dmax              10
[conf]           dt_red           0.800
[conf]         phys_gap       1.000e-03
[info]           i      MBD                dt                 E           rel_err           exp_err             slope
[itstep]         0    2.000         4.000e-01     -4.2680690575      1.000000e+00      1.000000e-03     -1.551983e+01
[itstep]         1    2.000         4.000e-01     -4.5203210857      5.910214e-02      2.308677e+03     -6.306301e-01
[itstep]         2    2.000         4.000e-01     -4.5456647652      5.606610e-03      2.190082e+02     -6.335920e-02
[itstep]         3    2.000         4.000e-01     -4.5680842785      4.932065e-03      1.926588e+02     -5.604878e-02
[itstep]         4    2.000         4.000e-01     -4.5950416932      5.901252e-03      2.305176e+02     -6.739354e-02
[itstep]         5    2.000         4.000e-01     -4.6261062682      6.760456e-03      2.640803e+02     -7.766144e-02
[itstep]         6    2.000         4.000e-01     -4.6594744658      7.213020e-03      2.817586e+02     -8.342049e-02
[itstep]         7    2.000         4.000e-01     -4.6926500374      7.120024e-03      2.781260e+02     -8.293893e-02
[itstep]         8    2.000         4.000e-01     -4.7231838671      6.506735e-03      2.541693e+02     -7.633457e-02
[itstep]         9    2.000         4.000e-01     -4.7493522519      5.540412e-03      2.164223e+02     -6.542096e-02
[itstep]        10    2.000         4.000e-01     -4.7704431985      4.440805e-03      1.734689e+02     -5.272737e-02
[itstep]        11    2.000         4.000e-01     -4.7866160866      3.390228e-03      1.324308e+02     -4.043222e-02
[itstep]        12    2.000         4.000e-01     -4.7985504453      2.493277e-03      9.739362e+01     -2.983590e-02
[itstep]        13    2.000         4.000e-01     -4.8071097881      1.783735e-03      6.967715e+01     -2.139836e-02
[itstep]        14    2.000         4.000e-01     -4.8131239382      1.251095e-03      4.887089e+01     -1.503538e-02
[itstep]        15    2.000         4.000e-01     -4.8172890849      8.653728e-04      3.380363e+01     -1.041287e-02
[itstep]        16    2.000         4.000e-01     -4.8201448925      5.928246e-04      2.315721e+01     -7.139519e-03
[itstep]        17    2.000         4.000e-01     -4.8220895148      4.034365e-04      1.575924e+01     -4.861556e-03
[itstep]        18    2.000         4.000e-01     -4.8234074734      2.733169e-04      1.067644e+01     -3.294897e-03
[itstep]        19    2.000         4.000e-01     -4.8242978726      1.845996e-04      7.210923e+00     -2.225998e-03
[itstep]        20    2.000         4.000e-01     -4.8248981231      1.244224e-04      4.860248e+00     -1.500626e-03
[itstep]        21    2.000         4.000e-01     -4.8253021867      8.374551e-05      3.271309e+00     -1.010159e-03
[itstep]        22    2.000         4.000e-01     -4.8255739196      5.631417e-05      2.199772e+00     -6.793322e-04
[itstep]        23    2.000         4.000e-01     -4.8257565399      3.784427e-05      1.478292e+00     -4.565508e-04
[itstep]        24    2.000         4.000e-01     -4.8258792172      2.542135e-05      9.930215e-01     -3.066931e-04
[itstep]        25    2.000         4.000e-01     -4.8259616025      1.707157e-05      6.668584e-01     -2.059634e-04
[itstep]        26    2.000         4.000e-01     -4.8260169183      1.146213e-05      4.477396e-01     -1.382896e-04
[itstep]        27    2.000         4.000e-01     -4.8260540540      7.694878e-06      3.005812e-01     -9.283902e-05
[itstep]        28    2.000         4.000e-01     -4.8260789823      5.165359e-06      2.017718e-01     -6.232076e-05
[itstep]        29    2.000         4.000e-01     -4.8260957151      3.467163e-06      1.354360e-01     -4.183200e-05
[itstep]        30    2.000         4.000e-01     -4.8261069463      2.327186e-06      9.090570e-02     -2.807805e-05
[itstep]        31    2.000         4.000e-01     -4.8261144846      1.561984e-06      6.101500e-02     -1.884576e-05
[itstep]        32    2.000         4.000e-01     -4.8261195441      1.048370e-06      4.095195e-02     -1.264888e-05
[itstep]        33    2.000         4.000e-01     -4.8261229400      7.036349e-07      2.748574e-02     -8.489566e-06
[itstep]        34    2.000         4.000e-01     -4.8261252191      4.722553e-07      1.844747e-02     -5.697905e-06
[itstep]        35    2.000         4.000e-01     -4.8261267488      3.169596e-07      1.238124e-02     -3.824217e-06
[itstep]        36    2.000         4.000e-01     -4.8261277755      2.127304e-07      8.309780e-03     -2.566659e-06
[itstep]        37    2.000         4.000e-01     -4.8261284645      1.427756e-07      5.577173e-03     -1.722633e-06
[itstep]        38    2.000         4.000e-01     -4.8261289270      9.582480e-08      3.743156e-03     -1.156157e-06
[itstep]        39    2.000         4.000e-01     -4.8261292374      6.431338e-08      2.512241e-03     -7.759616e-07
[itstep]        40    2.000         4.000e-01     -4.8261294457      4.316427e-08      1.686104e-03     -5.207909e-07
[itstep]        41    2.000         4.000e-01     -4.8261295855      2.896992e-08      1.131637e-03     -3.495314e-07
[update_dt]  (i= 42) Reduced time step from   0.400000 to   0.320000
[update_E0]  (i= 42) Extrapolated energy ground state E0:  -9.520153
[itstep]        42    2.000         3.200e-01     -4.8261296793      1.944330e-08      7.595039e-04     -2.345897e-07
[itstep]        43    2.000         3.200e-01     -4.8693302266      8.951386e-03      8.536706e+02     -1.350017e-01
[itstep]        44    2.000         3.200e-01     -4.8730491707      7.637486e-04      7.283674e+01     -1.162170e-02
[itstep]        45    2.000         3.200e-01     -4.8736820861      1.298808e-04      1.238640e+01     -1.977861e-03
[itstep]        46    2.000         3.200e-01     -4.8738197761      2.825175e-05      2.694297e+00     -4.302815e-04
[itstep]        47    2.000         3.200e-01     -4.8738516298      6.535672e-06      6.232903e-01     -9.954278e-05
[itstep]        48    2.000         3.200e-01     -4.8738590997      1.532652e-06      1.461650e-01     -2.334349e-05
[itstep]        49    2.000         3.200e-01     -4.8738608602      3.612081e-07      3.444749e-02     -5.501492e-06
[itstep]        50    2.000         3.200e-01     -4.8738612785      8.581475e-08      8.183932e-03     -1.307029e-06
[itstep]        51    2.000         3.200e-01     -4.8738613802      2.086895e-08      1.990218e-03     -3.178512e-07
[update_dt]  (i= 52) Reduced time step from   0.320000 to   0.256000
[update_E0]  (i= 52) Extrapolated energy ground state E0:  -4.906976
[itstep]        52    2.000         2.560e-01     -4.8738614067      5.429875e-09      5.178333e-04     -8.270144e-08
[itstep]        53    2.000         2.560e-01     -4.8938398128      4.099092e-03      9.543942e+02     -7.804065e-02
[itstep]        54    2.000         2.560e-01     -4.8962864402      4.999402e-04      1.164014e+02     -9.557138e-03
[itstep]        55    2.000         2.560e-01     -4.8968005257      1.049950e-04      2.444605e+01     -2.008147e-03
[itstep]        56    2.000         2.560e-01     -4.8969423050      2.895346e-05      6.741253e+00     -5.538255e-04
[itstep]        57    2.000         2.560e-01     -4.8969857556      8.873010e-06      2.065909e+00     -1.697290e-04
[itstep]        58    2.000         2.560e-01     -4.8969995140      2.809554e-06      6.541502e-01     -5.374353e-05
[itstep]        59    2.000         2.560e-01     -4.8970039114      8.979796e-07      2.090772e-01     -1.717737e-05
[itstep]        60    2.000         2.560e-01     -4.8970053207      2.877905e-07      6.700644e-02     -5.505121e-06
[itstep]        61    2.000         2.560e-01     -4.8970057728      9.232853e-08      2.149691e-02     -1.766146e-06
[itstep]        62    2.000         2.560e-01     -4.8970059180      2.964996e-08      6.903420e-03     -5.671720e-07
[itstep]        63    2.000         2.560e-01     -4.8970059647      9.540926e-09      2.221420e-03     -1.825077e-07
[update_dt]  (i= 64) Reduced time step from   0.256000 to   0.204800
[update_E0]  (i= 64) Extrapolated energy ground state E0:  -4.913063
[itstep]        64    2.000         2.048e-01     -4.8970059798      3.085250e-09      7.183408e-04     -5.901753e-08
[itstep]        65    2.000         2.048e-01     -4.9056299139      1.761063e-03      1.001048e+03     -4.210905e-02
[itstep]        66    2.000         2.048e-01     -4.9070827920      2.961654e-04      1.683506e+02     -7.094131e-03
[itstep]        67    2.000         2.048e-01     -4.9074491561      7.466026e-05      4.243945e+01     -1.788887e-03
[itstep]        68    2.000         2.048e-01     -4.9075673738      2.408943e-05      1.369326e+01     -5.772347e-04
[itstep]        69    2.000         2.048e-01     -4.9076110798      8.905857e-06      5.062393e+00     -2.134086e-04
[itstep]        70    2.000         2.048e-01     -4.9076282378      3.496189e-06      1.987354e+00     -8.377899e-05
[itstep]        71    2.000         2.048e-01     -4.9076351322      1.404837e-06      7.985574e-01     -3.366415e-05
[itstep]        72    2.000         2.048e-01     -4.9076379264      5.693474e-07      3.236365e-01     -1.364331e-05
[itstep]        73    2.000         2.048e-01     -4.9076390623      2.314599e-07      1.315697e-01     -5.546492e-06
[itstep]        74    2.000         2.048e-01     -4.9076395246      9.420313e-08      5.354828e-02     -2.257397e-06
[itstep]        75    2.000         2.048e-01     -4.9076397128      3.835700e-08      2.180343e-02     -9.191521e-07
[itstep]        76    2.000         2.048e-01     -4.9076397895      1.562138e-08      8.879727e-03     -3.743365e-07
[itstep]        77    2.000         2.048e-01     -4.9076398207      6.363329e-09      3.617133e-03     -1.524850e-07
[itstep]        78    2.000         2.048e-01     -4.9076398334      2.592970e-09      1.473933e-03     -6.213555e-08
[update_dt]  (i= 79) Reduced time step from   0.204800 to   0.163840
[update_E0]  (i= 79) Extrapolated energy ground state E0:  -4.915017
[itstep]        79    2.000         1.638e-01     -4.9076398386      1.057313e-09      6.010130e-04     -2.533649e-08
[itstep]        80    2.000         1.638e-01     -4.9111635707      7.180095e-04      9.964384e+02     -2.150715e-02
[itstep]        81    2.000         1.638e-01     -4.9119517203      1.604812e-04      2.227124e+02     -4.810483e-03
[itstep]        82    2.000         1.638e-01     -4.9121883848      4.818136e-05      6.686506e+01     -1.444485e-03
[itstep]        83    2.000         1.638e-01     -4.9122747474      1.758130e-05      2.439895e+01     -5.271157e-04
[itstep]        84    2.000         1.638e-01     -4.9123108605      7.351601e-06      1.020240e+01     -2.204168e-04
[itstep]        85    2.000         1.638e-01     -4.9123272397      3.334315e-06      4.627291e+00     -9.997064e-05
[itstep]        86    2.000         1.638e-01     -4.9123349864      1.576990e-06      2.188514e+00     -4.728206e-05
[itstep]        87    2.000         1.638e-01     -4.9123387236      7.607846e-07      1.055801e+00     -2.281023e-05
[itstep]        88    2.000         1.638e-01     -4.9123405428      3.703397e-07      5.139495e-01     -1.110372e-05
[itstep]        89    2.000         1.638e-01     -4.9123414320      1.810001e-07      2.511881e-01     -5.426844e-06
[itstep]        90    2.000         1.638e-01     -4.9123418673      8.861917e-08      1.229838e-01     -2.657029e-06
[itstep]        91    2.000         1.638e-01     -4.9123420806      4.342278e-08      6.026121e-02     -1.301926e-06
[itstep]        92    2.000         1.638e-01     -4.9123421852      2.128431e-08      2.953792e-02     -6.381581e-07
[itstep]        93    2.000         1.638e-01     -4.9123422364      1.043449e-08      1.448076e-02     -3.128527e-07
[itstep]        94    2.000         1.638e-01     -4.9123422615      5.115844e-09      7.099659e-03     -1.533861e-07
[itstep]        95    2.000         1.638e-01     -4.9123422739      2.508334e-09      3.481012e-03     -7.520626e-08
[itstep]        96    2.000         1.638e-01     -4.9123422799      1.229917e-09      1.706853e-03     -3.687606e-08
[update_dt]  (i= 97) Reduced time step from   0.163840 to   0.131072
[update_E0]  (i= 97) Extrapolated energy ground state E0:  -4.915605
[itstep]        97    2.000         1.311e-01     -4.9123422829      6.031078e-10      8.369802e-04     -1.808271e-08
[itstep]        98    2.000         1.311e-01     -4.9137208300      2.806293e-04      9.508090e+02     -1.051748e-02
[itstep]        99    2.000         1.311e-01     -4.9141155883      8.033797e-05      2.721956e+02     -3.011767e-03
[itstep]       100    2.000         1.311e-01     -4.9142555842      2.848853e-05      9.652289e+01     -1.068084e-03
[itstep]       101    2.000         1.311e-01     -4.9143129583      1.167502e-05      3.955652e+01     -4.377293e-04
[itstep]       102    2.000         1.311e-01     -4.9143392835      5.356855e-06      1.814973e+01     -2.008458e-04
[itstep]       103    2.000         1.311e-01     -4.9143524192      2.672925e-06      9.056221e+00     -1.002171e-04
[itstep]       104    2.000         1.311e-01     -4.9143593468      1.409659e-06      4.776112e+00     -5.285311e-05
[itstep]       105    2.000         1.311e-01     -4.9143631232      7.684562e-07      2.603631e+00     -2.881218e-05
[itstep]       106    2.000         1.311e-01     -4.9143652205      4.267531e-07      1.445896e+00     -1.600052e-05
[itstep]       107    2.000         1.311e-01     -4.9143663968      2.393745e-07      8.110323e-01     -8.975019e-06
[itstep]       108    2.000         1.311e-01     -4.9143670602      1.349819e-07      4.573364e-01     -5.060962e-06
[itstep]       109    2.000         1.311e-01     -4.9143674353      7.632649e-08      2.586042e-01     -2.861758e-06
