[conf]                N               3
[conf]                J            1.379
[conf]             beta           1.000
[conf]              dt0       4.000e-01
[conf]        eps_trunc       1.000e-04
[conf]           eps_dt       9.000e-02
[conf]          eps_tol       1.000e-03
[conf]             Dmax              10
[conf]           dt_red           0.800
[conf]         phys_gap       1.000e-03
[info]           i      MBD                dt                 E           rel_err           exp_err             slope
[itstep]         0    2.000         4.000e-01     -3.4732042411      1.000000e+00      1.000000e-03     -1.042321e+01
[itstep]         1    2.000         4.000e-01     -3.8107799120      9.719430e-02      3.796653e+03     -8.439392e-01
[itstep]         2    2.000         4.000e-01     -3.8580308834      1.239929e-02      4.843473e+02     -1.181274e-01
[itstep]         3    2.000         4.000e-01     -3.8736713122      4.053993e-03      1.583591e+02     -3.910107e-02
[itstep]         4    2.000         4.000e-01     -3.8812981336      1.968887e-03      7.690965e+01     -1.906705e-02
[itstep]         5    2.000         4.000e-01     -3.8854300606      1.064573e-03      4.158490e+01     -1.032982e-02
[itstep]         6    2.000         4.000e-01     -3.8877289166      5.916607e-04      2.311174e+01     -5.747140e-03
[itstep]         7    2.000         4.000e-01     -3.8890168592      3.312841e-04      1.294078e+01     -3.219856e-03
[itstep]         8    2.000         4.000e-01     -3.8897396241      1.858477e-04      7.259676e+00     -1.806912e-03
[itstep]         9    2.000         4.000e-01     -3.8901452943      1.042924e-04      4.073921e+00     -1.014175e-03
[itstep]        10    2.000         4.000e-01     -3.8903729470      5.852037e-05      2.285952e+00     -5.691319e-04
[itstep]        11    2.000         4.000e-01     -3.8905006747      3.283172e-05      1.282489e+00     -3.193191e-04
[itstep]        12    2.000         4.000e-01     -3.8905723270      1.841724e-05      7.194235e-01     -1.791307e-04
[itstep]        13    2.000         4.000e-01     -3.8906125182      1.033041e-05      4.035317e-01     -1.004780e-04
[itstep]        14    2.000         4.000e-01     -3.8906350608      5.794109e-06      2.263324e-01     -5.635658e-05
[itstep]        15    2.000         4.000e-01     -3.8906477041      3.249685e-06      1.269408e-01     -3.160834e-05
[itstep]        16    2.000         4.000e-01     -3.8906547952      1.822583e-06      7.119464e-02     -1.772757e-05
[itstep]        17    2.000         4.000e-01     -3.8906587721      1.022182e-06      3.992899e-02     -9.942395e-06
[itstep]        18    2.000         4.000e-01     -3.8906610026      5.732797e-07      2.239374e-02     -5.576089e-06
[itstep]        19    2.000         4.000e-01     -3.8906622535      3.215164e-07      1.255924e-02     -3.127279e-06
[itstep]        20    2.000         4.000e-01     -3.8906629550      1.803179e-07      7.043669e-03     -1.753890e-06
[itstep]        21    2.000         4.000e-01     -3.8906633485      1.011286e-07      3.950337e-03     -9.836435e-07
[itstep]        22    2.000         4.000e-01     -3.8906635692      5.671645e-08      2.215486e-03     -5.516615e-07
[itstep]        23    2.000         4.000e-01     -3.8906636929      3.180854e-08      1.242521e-03     -3.093908e-07
[update_dt]  (i= 24) Reduced time step from   0.400000 to   0.320000
[update_E0]  (i= 24) Extrapolated energy ground state E0:  -7.072795
[itstep]        24    2.000         3.200e-01     -3.8906637623      1.783932e-08      6.968486e-04     -1.735170e-07
[itstep]        25    2.000         3.200e-01     -3.9037587860      3.365756e-03      3.209835e+02     -4.092195e-02
[itstep]        26    2.000         3.200e-01     -3.9053277977      4.019233e-04      3.833039e+01     -4.903162e-03
[itstep]        27    2.000         3.200e-01     -3.9056267317      7.654518e-05      7.299917e+00     -9.341688e-04
