[conf]                N               5
[conf]                J            0.966
[conf]             beta           1.000
[conf]              dt0       4.000e-01
[conf]        eps_trunc       1.000e-04
[conf]           eps_dt       9.000e-02
[conf]          eps_tol       1.000e-03
[conf]             Dmax              10
[conf]           dt_red           0.800
[conf]         phys_gap       1.000e-03
[info]           i      MBD                dt                 E           rel_err           exp_err             slope
[itstep]         0    3.000         4.000e-01     -4.7801659197      1.000000e+00      1.000000e-03     -1.302575e+01
[itstep]         1    3.000         4.000e-01     -5.7916941870      2.116094e-01      8.265994e+03     -2.528821e+00
[itstep]         2    3.000         4.000e-01     -5.8904907829      1.705832e-02      6.663408e+02     -2.469915e-01
[itstep]         3    3.000         4.000e-01     -5.9117244650      3.604739e-03      1.408101e+02     -5.308421e-02
[itstep]         4    3.000         4.000e-01     -5.9211486750      1.594156e-03      6.227171e+01     -2.356053e-02
[itstep]         5    3.000         4.000e-01     -5.9264507661      8.954497e-04      3.497851e+01     -1.325523e-02
[itstep]         6    3.000         4.000e-01     -5.9295942893      5.304226e-04      2.071963e+01     -7.858808e-03
[itstep]         7    3.000         4.000e-01     -5.9314779904      3.176779e-04      1.240929e+01     -4.709253e-03
[itstep]         8    3.000         4.000e-01     -5.9326082400      1.905511e-04      7.443402e+00     -2.825624e-03
[itstep]         9    3.000         4.000e-01     -5.9332859089      1.142278e-04      4.462024e+00     -1.694172e-03
[itstep]        10    3.000         4.000e-01     -5.9336918242      6.841324e-05      2.672392e+00     -1.014788e-03
[itstep]        11    3.000         4.000e-01     -5.9339347674      4.094301e-05      1.599336e+00     -6.073580e-04
[itstep]        12    3.000         4.000e-01     -5.9340800872      2.448962e-05      9.566258e-01     -3.632995e-04
[itstep]        13    3.000         4.000e-01     -5.9341669786      1.464278e-05      5.719835e-01     -2.172285e-04
[itstep]        14    3.000         4.000e-01     -5.9342189207      8.753052e-06      3.419161e-01     -1.298552e-04
[itstep]        15    3.000         4.000e-01     -5.9342499657      5.231520e-06      2.043562e-01     -7.761246e-05
[itstep]        16    3.000         4.000e-01     -5.9342685189      3.126462e-06      1.221274e-01     -4.638302e-05
[itstep]        17    3.000         4.000e-01     -5.9342796060      1.868320e-06      7.298127e-02     -2.771779e-05
[itstep]        18    3.000         4.000e-01     -5.9342862313      1.116433e-06      4.361065e-02     -1.656306e-05
[itstep]        19    3.000         4.000e-01     -5.9342901901      6.671184e-07      2.605931e-02     -9.897178e-06
[itstep]        20    3.000         4.000e-01     -5.9342925557      3.986269e-07      1.557136e-02     -5.913919e-06
[itstep]        21    3.000         4.000e-01     -5.9342939692      2.381914e-07      9.304353e-03     -3.533744e-06
[itstep]        22    3.000         4.000e-01     -5.9342948138      1.423256e-07      5.559594e-03     -2.111505e-06
[itstep]        23    3.000         4.000e-01     -5.9342953185      8.504293e-08      3.321990e-03     -1.261675e-06
[itstep]        24    3.000         4.000e-01     -5.9342956200      5.081506e-08      1.984963e-03     -7.538789e-07
[itstep]        25    3.000         4.000e-01     -5.9342958002      3.036309e-08      1.186058e-03     -4.504589e-07
[update_dt]  (i= 26) Reduced time step from   0.400000 to   0.320000
[update_E0]  (i= 26) Extrapolated energy ground state E0: -10.349726
[itstep]        26    3.000         3.200e-01     -5.9342959079      1.814258e-08      7.086946e-04     -2.691586e-07
[itstep]        27    3.000         3.200e-01     -5.9445172489      1.722418e-03      1.642626e+02     -3.194169e-02
[itstep]        28    3.000         3.200e-01     -5.9459568487      2.421727e-04      2.309539e+01     -4.498750e-03
[itstep]        29    3.000         3.200e-01     -5.9462365558      4.704155e-05      4.486232e+00     -8.740845e-04
[itstep]        30    3.000         3.200e-01     -5.9463039906      1.134076e-05      1.081539e+00     -2.107338e-04
[itstep]        31    3.000         3.200e-01     -5.9463237526      3.323414e-06      3.169454e-01     -6.175634e-05
[itstep]        32    3.000         3.200e-01     -5.9463305982      1.151222e-06      1.097890e-01     -2.139230e-05
[itstep]        33    3.000         3.200e-01     -5.9463332847      4.517898e-07      4.308603e-02     -8.395286e-06
[itstep]        34    3.000         3.200e-01     -5.9463344286      1.923868e-07      1.834744e-02     -3.574988e-06
[itstep]        35    3.000         3.200e-01     -5.9463349401      8.600725e-08      8.202291e-03     -1.598212e-06
[itstep]        36    3.000         3.200e-01     -5.9463351751      3.952174e-08      3.769087e-03     -7.344047e-07
[itstep]        37    3.000         3.200e-01     -5.9463352847      1.844153e-08      1.758721e-03     -3.426860e-07
[update_dt]  (i= 38) Reduced time step from   0.320000 to   0.256000
[update_E0]  (i= 38) Extrapolated energy ground state E0:  -5.954688
[itstep]        38    3.000         2.560e-01     -5.9463353364      8.681317e-09      8.279149e-04     -1.613188e-07
[itstep]        39    3.000         2.560e-01     -5.9506404796      7.239994e-04      1.685692e+02     -1.681697e-02
[itstep]        40    3.000         2.560e-01     -5.9514856611      1.420320e-04      3.306941e+01     -3.301490e-03
[itstep]        41    3.000         2.560e-01     -5.9516970939      3.552605e-05      8.271554e+00     -8.259094e-04
[itstep]        42    3.000         2.560e-01     -5.9517585406      1.032423e-05      2.403798e+00     -2.400262e-04
[itstep]        43    3.000         2.560e-01     -5.9517789046      3.421502e-06      7.966306e-01     -7.954670e-05
[itstep]        44    3.000         2.560e-01     -5.9517865385      1.282625e-06      2.986345e-01     -2.981993e-05
[itstep]        45    3.000         2.560e-01     -5.9517897320      5.365624e-07      1.249282e-01     -1.247463e-05
[itstep]        46    3.000         2.560e-01     -5.9517911929      2.454487e-07      5.714797e-02     -5.706480e-06
[itstep]        47    3.000         2.560e-01     -5.9517919071      1.200104e-07      2.794209e-02     -2.790143e-06
[itstep]        48    3.000         2.560e-01     -5.9517922728      6.144195e-08      1.430557e-02     -1.428475e-06
[itstep]        49    3.000         2.560e-01     -5.9517924658      3.241860e-08      7.548043e-03     -7.537061e-07
[itstep]        50    3.000         2.560e-01     -5.9517925695      1.743345e-08      4.059042e-03     -4.053136e-07
[itstep]        51    3.000         2.560e-01     -5.9517926260      9.485781e-09      2.208580e-03     -2.205367e-07
[itstep]        52    3.000         2.560e-01     -5.9517926569      5.198438e-09      1.210356e-03     -1.208595e-07
[update_dt]  (i= 53) Reduced time step from   0.256000 to   0.204800
[update_E0]  (i= 53) Extrapolated energy ground state E0:  -5.955579
[itstep]        53    3.000         2.048e-01     -5.9517926740      2.861255e-09      6.661879e-04     -6.652186e-08
[itstep]        54    3.000         2.048e-01     -5.9535131270      2.890647e-04      1.643142e+02     -8.400649e-03
[itstep]        55    3.000         2.048e-01     -5.9539600449      7.506793e-05      4.267118e+01     -2.182216e-03
[itstep]        56    3.000         2.048e-01     -5.9540995388      2.342877e-05      1.331771e+01     -6.811228e-04
[itstep]        57    3.000         2.048e-01     -5.9541481334      8.161530e-06      4.639292e+00     -2.372781e-04
[itstep]        58    3.000         2.048e-01     -5.9541666314      3.106734e-06      1.765974e+00     -9.032204e-05
[itstep]        59    3.000         2.048e-01     -5.9541742820      1.284921e-06      7.303932e-01     -3.735662e-05
[itstep]        60    3.000         2.048e-01     -5.9541777075      5.753086e-07      3.270251e-01     -1.672601e-05
[itstep]        61    3.000         2.048e-01     -5.9541793580      2.772107e-07      1.575760e-01     -8.059384e-06
[itstep]        62    3.000         2.048e-01     -5.9541802063      1.424616e-07      8.098004e-02     -4.141806e-06
[itstep]        63    3.000         2.048e-01     -5.9541806661      7.721997e-08      4.389447e-02     -2.245028e-06
[itstep]        64    3.000         2.048e-01     -5.9541809259      4.363867e-08      2.480571e-02     -1.268713e-06
[itstep]        65    3.000         2.048e-01     -5.9541810774      2.544107e-08      1.446157e-02     -7.396519e-07
[itstep]        66    3.000         2.048e-01     -5.9541811677      1.516822e-08      8.622133e-03     -4.409878e-07
[itstep]        67    3.000         2.048e-01     -5.9541812224      9.186696e-09      5.222032e-03     -2.670862e-07
[itstep]        68    3.000         2.048e-01     -5.9541812559      5.624471e-09      3.197142e-03     -1.635211e-07
[itstep]        69    3.000         2.048e-01     -5.9541812765      3.468952e-09      1.971871e-03     -1.008534e-07
