[conf]                N               3
[conf]                J            2.897
[conf]             beta           1.000
[conf]              dt0       4.000e-01
[conf]        eps_trunc       1.000e-04
[conf]           eps_dt       9.000e-02
[conf]          eps_tol       1.000e-03
[conf]             Dmax              10
[conf]           dt_red           0.800
[conf]         phys_gap       1.000e-03
[info]           i      MBD                dt                 E           rel_err           exp_err             slope
[itstep]         0    2.000         4.000e-01     -5.7959536759      1.000000e+00      1.000000e-03     -1.963634e+01
[itstep]         1    2.000         4.000e-01     -6.0839102212      4.968234e-02      1.940716e+03     -7.198914e-01
[itstep]         2    2.000         4.000e-01     -6.1013717621      2.870118e-03      1.121140e+02     -4.365385e-02
[itstep]         3    2.000         4.000e-01     -6.1047197266      5.487232e-04      2.143450e+01     -8.369911e-03
[itstep]         4    2.000         4.000e-01     -6.1064388883      2.816119e-04      1.100046e+01     -4.297904e-03
[itstep]         5    2.000         4.000e-01     -6.1076643617      2.006854e-04      7.839275e+00     -3.063684e-03
[itstep]         6    2.000         4.000e-01     -6.1085789603      1.497461e-04      5.849455e+00     -2.286497e-03
[itstep]         7    2.000         4.000e-01     -6.1092629646      1.119744e-04      4.373999e+00     -1.710011e-03
[itstep]         8    2.000         4.000e-01     -6.1097732412      8.352506e-05      3.262698e+00     -1.275691e-03
[itstep]         9    2.000         4.000e-01     -6.1101530223      6.215961e-05      2.428110e+00     -9.494527e-04
[itstep]        10    2.000         4.000e-01     -6.1104351702      4.617690e-05      1.803785e+00     -7.053697e-04
[itstep]        11    2.000         4.000e-01     -6.1106445017      3.425802e-05      1.338204e+00     -5.233286e-04
[itstep]        12    2.000         4.000e-01     -6.1107996535      2.539043e-05      9.918135e-01     -3.878797e-04
[itstep]        13    2.000         4.000e-01     -6.1109145633      1.880438e-05      7.345459e-01     -2.872744e-04
[itstep]        14    2.000         4.000e-01     -6.1109996219      1.391912e-05      5.437157e-01     -2.126464e-04
[itstep]        15    2.000         4.000e-01     -6.1110625583      1.029888e-05      4.022999e-01     -1.573411e-04
[itstep]        16    2.000         4.000e-01     -6.1111091121      7.617961e-06      2.975766e-01     -1.163846e-04
[itstep]        17    2.000         4.000e-01     -6.1111435401      5.633676e-06      2.200655e-01     -8.607003e-05
[itstep]        18    2.000         4.000e-01     -6.1111689965      4.165569e-06      1.627175e-01     -6.364097e-05
[itstep]        19    2.000         4.000e-01     -6.1111878169      3.079672e-06      1.202997e-01     -4.705099e-05
[itstep]        20    2.000         4.000e-01     -6.1112017299      2.276648e-06      8.893156e-02     -3.478256e-05
[itstep]        21    2.000         4.000e-01     -6.1112120145      1.682902e-06      6.573835e-02     -2.571138e-05
[itstep]        22    2.000         4.000e-01     -6.1112196165      1.243943e-06      4.859152e-02     -1.900500e-05
[itstep]        23    2.000         4.000e-01     -6.1112252354      9.194467e-07      3.591589e-02     -1.404735e-05
[itstep]        24    2.000         4.000e-01     -6.1112293885      6.795809e-07      2.654613e-02     -1.038268e-05
[itstep]        25    2.000         4.000e-01     -6.1112324581      5.022815e-07      1.962037e-02     -7.673893e-06
[itstep]        26    2.000         4.000e-01     -6.1112347268      3.712333e-07      1.450130e-02     -5.671732e-06
[itstep]        27    2.000         4.000e-01     -6.1112364035      2.743734e-07      1.071771e-02     -4.191900e-06
[itstep]        28    2.000         4.000e-01     -6.1112376428      2.027839e-07      7.921248e-03     -3.098152e-06
[itstep]        29    2.000         4.000e-01     -6.1112385587      1.498727e-07      5.854404e-03     -2.289770e-06
[itstep]        30    2.000         4.000e-01     -6.1112392356      1.107669e-07      4.326830e-03     -1.692307e-06
[itstep]        31    2.000         4.000e-01     -6.1112397359      8.186450e-08      3.197832e-03     -1.250734e-06
[itstep]        32    2.000         4.000e-01     -6.1112401057      6.050348e-08      2.363417e-03     -9.243782e-07
[itstep]        33    2.000         4.000e-01     -6.1112403789      4.471615e-08      1.746725e-03     -6.831778e-07
[itstep]        34    2.000         4.000e-01     -6.1112405809      3.304820e-08      1.290945e-03     -5.049137e-07
[update_dt]  (i= 35) Reduced time step from   0.400000 to   0.320000
[update_E0]  (i= 35) Extrapolated energy ground state E0: -11.779193
[itstep]        35    2.000         3.200e-01     -6.1112407302      2.442479e-08      9.540934e-04     -3.731644e-07
[itstep]        36    2.000         3.200e-01     -6.2160385422      1.714837e-02      1.635396e+03     -3.274932e-01
[itstep]        37    2.000         3.200e-01     -6.2221249626      9.791478e-04      9.337881e+01     -1.902006e-02
[itstep]        38    2.000         3.200e-01     -6.2229083415      1.259021e-04      1.200696e+01     -2.448059e-03
[itstep]        39    2.000         3.200e-01     -6.2230256760      1.885525e-05      1.798177e+00     -3.666704e-04
[itstep]        40    2.000         3.200e-01     -6.2230436324      2.885479e-06      2.751807e-01     -5.611378e-05
[itstep]        41    2.000         3.200e-01     -6.2230464123      4.467139e-07      4.260196e-02     -8.687250e-06
[itstep]        42    2.000         3.200e-01     -6.2230468634      7.249196e-08      6.913372e-03     -1.409753e-06
[itstep]        43    2.000         3.200e-01     -6.2230469533      1.443635e-08      1.376758e-03     -2.807441e-07
[update_dt]  (i= 44) Reduced time step from   0.320000 to   0.256000
[update_E0]  (i= 44) Extrapolated energy ground state E0:  -6.300614
[itstep]        44    2.000         2.560e-01     -6.2230469840      4.931112e-09      4.702675e-04     -9.589545e-08
[itstep]        45    2.000         2.560e-01     -6.2747030672      8.300770e-03      1.932674e+03     -2.017816e-01
[itstep]        46    2.000         2.560e-01     -6.2790632987      6.948905e-04      1.617918e+02     -1.703215e-02
[itstep]        47    2.000         2.560e-01     -6.2798151482      1.197391e-04      2.787894e+01     -2.936912e-03
[itstep]        48    2.000         2.560e-01     -6.2799774263      2.584122e-05      6.016628e+00     -6.338988e-04
[itstep]        49    2.000         2.560e-01     -6.2800142174      5.858482e-06      1.364034e+00     -1.437154e-04
[itstep]        50    2.000         2.560e-01     -6.2800226400      1.341178e-06      3.122672e-01     -3.290084e-05
[itstep]        51    2.000         2.560e-01     -6.2800245747      3.080683e-07      7.172775e-02     -7.557329e-06
[itstep]        52    2.000         2.560e-01     -6.2800250220      7.122095e-08      1.658242e-02     -1.747146e-06
[itstep]        53    2.000         2.560e-01     -6.2800251277      1.684205e-08      3.921345e-03     -4.131581e-07
[itstep]        54    2.000         2.560e-01     -6.2800251548      4.305681e-09      1.002494e-03     -1.056241e-07
[update_dt]  (i= 55) Reduced time step from   0.256000 to   0.204800
[update_E0]  (i= 55) Extrapolated energy ground state E0:  -6.319555
[itstep]        55    2.000         2.048e-01     -6.2800251634      1.372018e-09      3.194477e-04     -3.365744e-08
[itstep]        56    2.000         2.048e-01     -6.3036898608      3.768249e-03      2.142001e+03     -1.155503e-01
