[conf]                N               5
[conf]                J            2.621
[conf]             beta           1.000
[conf]              dt0       4.000e-01
[conf]        eps_trunc       1.000e-04
[conf]           eps_dt       9.000e-02
[conf]          eps_tol       1.000e-03
[conf]             Dmax              10
[conf]           dt_red           0.800
[conf]         phys_gap       1.000e-03
[info]           i      MBD                dt                 E           rel_err           exp_err             slope
[itstep]         0    3.000         4.000e-01     -9.6219610713      1.000000e+00      1.000000e-03     -2.623695e+01
[itstep]         1    3.000         4.000e-01    -10.7723060841      1.195541e-01      4.670083e+03     -2.875863e+00
[itstep]         2    3.000         4.000e-01    -10.8001300762      2.582919e-03      1.008953e+02     -6.955998e-02
[itstep]         3    3.000         4.000e-01    -10.8006926110      5.208592e-05      2.034606e+00     -1.406337e-03
[itstep]         4    3.000         4.000e-01    -10.8006148234     -7.202088e-06      2.813316e-01      1.944688e-04
[itstep]         5    3.000         4.000e-01    -10.8005709628     -4.060937e-06      1.586304e-01      1.096516e-04
[itstep]         6    3.000         4.000e-01    -10.8005411870     -2.756873e-06      1.076904e-01      7.443952e-05
[itstep]         7    3.000         4.000e-01    -10.8005153419     -2.392947e-06      9.347450e-02      6.461282e-05
[itstep]         8    3.000         4.000e-01    -10.8004911781     -2.237283e-06      8.739389e-02      6.040954e-05
[itstep]         9    3.000         4.000e-01    -10.8004682441     -2.123421e-06      8.294614e-02      5.733498e-05
[itstep]        10    3.000         4.000e-01    -10.8004464404     -2.018772e-06      7.885828e-02      5.450921e-05
[itstep]        11    3.000         4.000e-01    -10.8004257309     -1.917467e-06      7.490107e-02      5.177376e-05
[itstep]        12    3.000         4.000e-01    -10.8004060882     -1.818697e-06      7.104284e-02      4.910675e-05
[itstep]        13    3.000         4.000e-01    -10.8003874839     -1.722554e-06      6.728727e-02      4.651071e-05
[itstep]        14    3.000         4.000e-01    -10.8003698873     -1.629260e-06      6.364295e-02      4.399159e-05
[itstep]        15    3.000         4.000e-01    -10.8003532653     -1.539016e-06      6.011779e-02      4.155484e-05
[itstep]        16    3.000         4.000e-01    -10.8003375834     -1.451985e-06      5.671815e-02      3.920487e-05
[itstep]        17    3.000         4.000e-01    -10.8003228054     -1.368288e-06      5.344874e-02      3.694493e-05
[itstep]        18    3.000         4.000e-01    -10.8003088945     -1.288007e-06      5.031278e-02      3.477723e-05
[itstep]        19    3.000         4.000e-01    -10.8002958133     -1.211190e-06      4.731212e-02      3.270307e-05
[itstep]        20    3.000         4.000e-01    -10.8002835241     -1.137853e-06      4.444740e-02      3.072288e-05
[itstep]        21    3.000         4.000e-01    -10.8002719896     -1.067986e-06      4.171820e-02      2.883638e-05
[itstep]        22    3.000         4.000e-01    -10.8002611725     -1.001554e-06      3.912320e-02      2.704263e-05
[itstep]        23    3.000         4.000e-01    -10.8002510364     -9.385028e-07      3.666027e-02      2.534019e-05
[itstep]        24    3.000         4.000e-01    -10.8002415456     -8.787621e-07      3.432664e-02      2.372713e-05
[itstep]        25    3.000         4.000e-01    -10.8002326651     -8.222467e-07      3.211901e-02      2.220116e-05
[itstep]        26    3.000         4.000e-01    -10.8002243613     -7.688609e-07      3.003363e-02      2.075969e-05
[itstep]        27    3.000         4.000e-01    -10.8002166013     -7.184997e-07      2.806640e-02      1.939990e-05
[itstep]        28    3.000         4.000e-01    -10.8002093538     -6.710520e-07      2.621297e-02      1.811877e-05
[itstep]        29    3.000         4.000e-01    -10.8002025885     -6.264017e-07      2.446882e-02      1.691317e-05
[itstep]        30    3.000         4.000e-01    -10.8001962766     -5.844298e-07      2.282929e-02      1.577990e-05
[itstep]        31    3.000         4.000e-01    -10.8001903903     -5.450156e-07      2.128967e-02      1.471569e-05
[itstep]        32    3.000         4.000e-01    -10.8001849034     -5.080383e-07      1.984525e-02      1.371728e-05
[itstep]        33    3.000         4.000e-01    -10.8001797908     -4.733776e-07      1.849131e-02      1.278141e-05
[itstep]        34    3.000         4.000e-01    -10.8001750289     -4.409148e-07      1.722324e-02      1.190490e-05
[itstep]        35    3.000         4.000e-01    -10.8001705950     -4.105336e-07      1.603647e-02      1.108459e-05
[itstep]        36    3.000         4.000e-01    -10.8001664680     -3.821205e-07      1.492658e-02      1.031742e-05
[itstep]        37    3.000         4.000e-01    -10.8001626279     -3.555652e-07      1.388927e-02      9.600408e-06
[itstep]        38    3.000         4.000e-01    -10.8001590556     -3.307614e-07      1.292037e-02      8.930692e-06
[itstep]        39    3.000         4.000e-01    -10.8001557334     -3.076066e-07      1.201588e-02      8.305500e-06
[itstep]        40    3.000         4.000e-01    -10.8001526445     -2.860024e-07      1.117197e-02      7.722176e-06
[itstep]        41    3.000         4.000e-01    -10.8001497733     -2.658548e-07      1.038495e-02      7.178181e-06
[itstep]        42    3.000         4.000e-01    -10.8001471048     -2.470740e-07      9.651329e-03      6.671091e-06
[itstep]        43    3.000         4.000e-01    -10.8001446254     -2.295746e-07      8.967760e-03      6.198600e-06
[itstep]        44    3.000         4.000e-01    -10.8001423220     -2.132756e-07      8.331076e-03      5.758517e-06
[itstep]        45    3.000         4.000e-01    -10.8001401825     -1.980999e-07      7.738277e-03      5.348768e-06
[itstep]        46    3.000         4.000e-01    -10.8001381955     -1.839749e-07      7.186521e-03      4.967388e-06
[itstep]        47    3.000         4.000e-01    -10.8001363505     -1.708320e-07      6.673125e-03      4.612523e-06
[itstep]        48    3.000         4.000e-01    -10.8001346375     -1.586063e-07      6.195560e-03      4.282425e-06
[itstep]        49    3.000         4.000e-01    -10.8001330474     -1.472369e-07      5.751443e-03      3.975447e-06
[itstep]        50    3.000         4.000e-01    -10.8001315713     -1.366664e-07      5.338533e-03      3.690040e-06
[itstep]        51    3.000         4.000e-01    -10.8001302014     -1.268410e-07      4.954726e-03      3.424748e-06
[itstep]        52    3.000         4.000e-01    -10.8001289302     -1.177100e-07      4.598047e-03      3.178208e-06
[itstep]        53    3.000         4.000e-01    -10.8001277505     -1.092260e-07      4.266642e-03      2.949138e-06
[itstep]        54    3.000         4.000e-01    -10.8001266560     -1.013447e-07      3.958778e-03      2.736340e-06
[itstep]        55    3.000         4.000e-01    -10.8001256405     -9.402448e-08      3.672831e-03      2.538691e-06
[itstep]        56    3.000         4.000e-01    -10.8001246984     -8.722643e-08      3.407282e-03      2.355141e-06
[itstep]        57    3.000         4.000e-01    -10.8001238246     -8.091424e-08      3.160712e-03      2.184710e-06
[itstep]        58    3.000         4.000e-01    -10.8001230140     -7.505399e-08      2.931796e-03      2.026481e-06
[itstep]        59    3.000         4.000e-01    -10.8001222621     -6.961399e-08      2.719296e-03      1.879599e-06
[itstep]        60    3.000         4.000e-01    -10.8001215648     -6.456470e-08      2.522059e-03      1.743267e-06
[itstep]        61    3.000         4.000e-01    -10.8001209181     -5.987855e-08      2.339006e-03      1.616739e-06
[itstep]        62    3.000         4.000e-01    -10.8001203184     -5.552988e-08      2.169136e-03      1.499323e-06
[itstep]        63    3.000         4.000e-01    -10.8001197622     -5.149474e-08      2.011513e-03      1.390373e-06
[itstep]        64    3.000         4.000e-01    -10.8001192465     -4.775085e-08      1.865268e-03      1.289287e-06
[itstep]        65    3.000         4.000e-01    -10.8001187683     -4.427747e-08      1.729589e-03      1.195505e-06
[itstep]        66    3.000         4.000e-01    -10.8001183249     -4.105529e-08      1.603722e-03      1.108505e-06
[itstep]        67    3.000         4.000e-01    -10.8001179138     -3.806635e-08      1.486967e-03      1.027803e-06
