[conf]                N               3
[conf]                J            2.759
[conf]             beta           1.000
[conf]              dt0       4.000e-01
[conf]        eps_trunc       1.000e-04
[conf]           eps_dt       9.000e-02
[conf]          eps_tol       1.000e-03
[conf]             Dmax              10
[conf]           dt_red           0.800
[conf]         phys_gap       1.000e-03
[info]           i      MBD                dt                 E           rel_err           exp_err             slope
[itstep]         0    2.000         4.000e-01     -5.8102895130      1.000000e+00      1.000000e-03     -2.333725e+01
[itstep]         1    2.000         4.000e-01     -5.8249405764      2.521572e-03      9.849891e+01     -3.662766e-02
[itstep]         2    2.000         4.000e-01     -5.8348085855      1.694096e-03      6.617563e+01     -2.467002e-02
[itstep]         3    2.000         4.000e-01     -5.8453520977      1.807002e-03      7.058603e+01     -2.635878e-02
[itstep]         4    2.000         4.000e-01     -5.8547630699      1.609992e-03      6.289033e+01     -2.352743e-02
[itstep]         5    2.000         4.000e-01     -5.8627282996      1.360470e-03      5.314336e+01     -1.991307e-02
[itstep]         6    2.000         4.000e-01     -5.8692470968      1.111905e-03      4.343379e+01     -1.629699e-02
[itstep]         7    2.000         4.000e-01     -5.8744438468      8.854202e-04      3.458673e+01     -1.299188e-02
[itstep]         8    2.000         4.000e-01     -5.8785012610      6.906891e-04      2.698004e+01     -1.014354e-02
[itstep]         9    2.000         4.000e-01     -5.8816179677      5.301873e-04      2.071044e+01     -7.791767e-03
[itstep]        10    2.000         4.000e-01     -5.8839822637      4.019805e-04      1.570237e+01     -5.910740e-03
[itstep]        11    2.000         4.000e-01     -5.8857588015      3.019278e-04      1.179405e+01     -4.441344e-03
[itstep]        12    2.000         4.000e-01     -5.8870841728      2.251828e-04      8.796201e+00     -3.313428e-03
[itstep]        13    2.000         4.000e-01     -5.8880676830      1.670624e-04      6.525874e+00     -2.458775e-03
[itstep]        14    2.000         4.000e-01     -5.8887946187      1.234591e-04      4.822622e+00     -1.817339e-03
[itstep]        15    2.000         4.000e-01     -5.8893303389      9.097282e-05      3.553626e+00     -1.339301e-03
[itstep]        16    2.000         4.000e-01     -5.8897242881      6.689200e-05      2.612969e+00     -9.848728e-04
[itstep]        17    2.000         4.000e-01     -5.8900135230      4.910840e-05      1.918297e+00     -7.230874e-04
[itstep]        18    2.000         4.000e-01     -5.8902256293      3.601118e-05      1.406687e+00     -5.302658e-04
[itstep]        19    2.000         4.000e-01     -5.8903810412      2.638470e-05      1.030652e+00     -3.885296e-04
[itstep]        20    2.000         4.000e-01     -5.8904948410      1.931960e-05      7.546721e-01     -2.844996e-04
[itstep]        21    2.000         4.000e-01     -5.8905781322      1.413994e-05      5.523414e-01     -2.082281e-04
[itstep]        22    2.000         4.000e-01     -5.8906390734      1.034553e-05      4.041223e-01     -1.523529e-04
[itstep]        23    2.000         4.000e-01     -5.8906836508      7.567505e-06      2.956057e-01     -1.114436e-04
[itstep]        24    2.000         4.000e-01     -5.8907162526      5.534463e-06      2.161900e-01     -8.150443e-05
[itstep]        25    2.000         4.000e-01     -5.8907400928      4.047081e-06      1.580891e-01     -5.960052e-05
[itstep]        26    2.000         4.000e-01     -5.8907575244      2.959151e-06      1.155918e-01     -4.357897e-05
[itstep]        27    2.000         4.000e-01     -5.8907702692      2.163526e-06      8.451274e-02     -3.186202e-05
[itstep]        28    2.000         4.000e-01     -5.8907795869      1.581740e-06      6.178673e-02     -2.329417e-05
[itstep]        29    2.000         4.000e-01     -5.8907863987      1.156357e-06      4.517021e-02     -1.702962e-05
[itstep]        30    2.000         4.000e-01     -5.8907913785      8.453512e-07      3.302153e-02     -1.244946e-05
[itstep]        31    2.000         4.000e-01     -5.8907950189      6.179789e-07      2.413980e-02     -9.100962e-06
[itstep]        32    2.000         4.000e-01     -5.8907976801      4.517559e-07      1.764672e-02     -6.653004e-06
[itstep]        33    2.000         4.000e-01     -5.8907996255      3.302398e-07      1.289999e-02     -4.863440e-06
[itstep]        34    2.000         4.000e-01     -5.8908010476      2.414080e-07      9.430001e-03     -3.555216e-06
[itstep]        35    2.000         4.000e-01     -5.8908020871      1.764702e-07      6.893369e-03     -2.598878e-06
[itstep]        36    2.000         4.000e-01     -5.8908028470      1.289999e-07      5.039059e-03     -1.899782e-06
[itstep]        37    2.000         4.000e-01     -5.8908034025      9.429879e-08      3.683546e-03     -1.388739e-06
[itstep]        38    2.000         4.000e-01     -5.8908038086      6.893215e-08      2.692662e-03     -1.015164e-06
[itstep]        39    2.000         4.000e-01     -5.8908041054      5.038912e-08      1.968325e-03     -7.420811e-07
[itstep]        40    2.000         4.000e-01     -5.8908043224      3.683420e-08      1.438836e-03     -5.424577e-07
[itstep]        41    2.000         4.000e-01     -5.8908044810      2.692560e-08      1.051781e-03     -3.965336e-07
[update_dt]  (i= 42) Reduced time step from   0.400000 to   0.320000
