[conf]                N               3
[conf]                J            1.655
[conf]             beta           1.000
[conf]              dt0       4.000e-01
[conf]        eps_trunc       1.000e-04
[conf]           eps_dt       9.000e-02
[conf]          eps_tol       1.000e-03
[conf]             Dmax              10
[conf]           dt_red           0.800
[conf]         phys_gap       1.000e-03
[info]           i      MBD                dt                 E           rel_err           exp_err             slope
[itstep]         0    2.000         4.000e-01     -3.1655554001      1.000000e+00      1.000000e-03     -8.402085e+00
[itstep]         1    2.000         4.000e-01     -3.8415241826      2.135388e-01      8.341358e+03     -1.689922e+00
[itstep]         2    2.000         4.000e-01     -3.9504874015      2.836458e-02      1.107991e+03     -2.724080e-01
[itstep]         3    2.000         4.000e-01     -4.0165344848      1.671872e-02      6.530749e+02     -1.651177e-01
[itstep]         4    2.000         4.000e-01     -4.0750189265      1.456092e-02      5.687860e+02     -1.462111e-01
[itstep]         5    2.000         4.000e-01     -4.1243226969      1.209903e-02      4.726183e+02     -1.232594e-01
[itstep]         6    2.000         4.000e-01     -4.1624289587      9.239399e-03      3.609140e+02     -9.526565e-02
[itstep]         7    2.000         4.000e-01     -4.1897954889      6.574654e-03      2.568224e+02     -6.841633e-02
[itstep]         8    2.000         4.000e-01     -4.2084107432      4.442998e-03      1.735546e+02     -4.653814e-02
[itstep]         9    2.000         4.000e-01     -4.2206075487      2.898198e-03      1.132108e+02     -3.049201e-02
[itstep]        10    2.000         4.000e-01     -4.2284034756      1.847110e-03      7.215274e+01     -1.948982e-02
[itstep]        11    2.000         4.000e-01     -4.2333077760      1.159847e-03      4.530652e+01     -1.226075e-02
[itstep]        12    2.000         4.000e-01     -4.2363621559      7.215114e-04      2.818404e+01     -7.635950e-03
[itstep]        13    2.000         4.000e-01     -4.2382525215      4.462238e-04      1.743062e+01     -4.725914e-03
[itstep]        14    2.000         4.000e-01     -4.2394179374      2.749756e-04      1.074123e+01     -2.913540e-03
[itstep]        15    2.000         4.000e-01     -4.2401346991      1.690708e-04      6.604328e+00     -1.791904e-03
[itstep]        16    2.000         4.000e-01     -4.2405748768      1.038122e-04      4.055163e+00     -1.100444e-03
[itstep]        17    2.000         4.000e-01     -4.2408449538      6.368876e-05      2.487842e+00     -6.751924e-04
[itstep]        18    2.000         4.000e-01     -4.2410105710      3.905289e-05      1.525504e+00     -4.140431e-04
[itstep]        19    2.000         4.000e-01     -4.2411120966      2.393901e-05      9.351175e-01     -2.538140e-04
[itstep]        20    2.000         4.000e-01     -4.2411743201      1.467151e-05      5.731059e-01     -1.555588e-04
[itstep]        21    2.000         4.000e-01     -4.2412124511      8.990666e-06      3.511979e-01     -9.532746e-05
[itstep]        22    2.000         4.000e-01     -4.2412358162      5.509057e-06      2.151975e-01     -5.841270e-05
[itstep]        23    2.000         4.000e-01     -4.2412501327      3.375540e-06      1.318570e-01     -3.579116e-05
[itstep]        24    2.000         4.000e-01     -4.2412589045      2.068223e-06      8.078997e-02     -2.192963e-05
[itstep]        25    2.000         4.000e-01     -4.2412642790      1.267197e-06      4.949990e-02     -1.343628e-05
[itstep]        26    2.000         4.000e-01     -4.2412675719      7.764021e-07      3.032821e-02     -8.232316e-06
[itstep]        27    2.000         4.000e-01     -4.2412695895      4.756926e-07      1.858174e-02     -5.043849e-06
[itstep]        28    2.000         4.000e-01     -4.2412708256      2.914502e-07      1.138477e-02     -3.090297e-06
[itstep]        29    2.000         4.000e-01     -4.2412715830      1.785670e-07      6.975275e-03     -1.893378e-06
[itstep]        30    2.000         4.000e-01     -4.2412720470      1.094051e-07      4.273638e-03     -1.160042e-06
[itstep]        31    2.000         4.000e-01     -4.2412723313      6.703068e-08      2.618386e-03     -7.107384e-07
[itstep]        32    2.000         4.000e-01     -4.2412725054      4.106855e-08      1.604240e-03     -4.354572e-07
[update_dt]  (i= 33) Reduced time step from   0.400000 to   0.320000
[update_E0]  (i= 33) Extrapolated energy ground state E0:  -7.319205
[itstep]        33    2.000         3.200e-01     -4.2412726122      2.516198e-08      9.828900e-04     -2.667971e-07
[itstep]        34    2.000         3.200e-01     -4.2639288736      5.341855e-03      5.094389e+02     -7.080082e-02
[itstep]        35    2.000         3.200e-01     -4.2663007203      5.562585e-04      5.304895e+01     -7.412021e-03
[itstep]        36    2.000         3.200e-01     -4.2667370110      1.022644e-04      9.752694e+00     -1.363408e-03
[itstep]        37    2.000         3.200e-01     -4.2668428507      2.480577e-05      2.365662e+00     -3.307490e-04
[itstep]        38    2.000         3.200e-01     -4.2668712654      6.659410e-06      6.350908e-01     -8.879580e-05
[itstep]        39    2.000         3.200e-01     -4.2668791242      1.841820e-06      1.756496e-01     -2.455877e-05
[itstep]        40    2.000         3.200e-01     -4.2668813169      5.139009e-07      4.900941e-02     -6.852353e-06
[itstep]        41    2.000         3.200e-01     -4.2668819314      1.440158e-07      1.373441e-02     -1.920307e-06
[itstep]        42    2.000         3.200e-01     -4.2668821047      4.061070e-08      3.872938e-03     -5.415033e-07
[itstep]        43    2.000         3.200e-01     -4.2668821542      1.161184e-08      1.107392e-03     -1.548324e-07
[update_dt]  (i= 44) Reduced time step from   0.320000 to   0.256000
[update_E0]  (i= 44) Extrapolated energy ground state E0:  -4.284649
[itstep]        44    2.000         2.560e-01     -4.2668821689      3.428890e-09      3.270045e-04     -4.572085e-08
[itstep]        45    2.000         2.560e-01     -4.2769743660      2.365239e-03      5.507002e+02     -3.942264e-02
[itstep]        46    2.000         2.560e-01     -4.2784682958      3.492959e-04      8.132680e+01     -5.835663e-03
[itstep]        47    2.000         2.560e-01     -4.2788058778      7.890254e-05      1.837093e+01     -1.318680e-03
[itstep]        48    2.000         2.560e-01     -4.2789045020      2.304947e-05      5.366624e+00     -3.852509e-04
[itstep]        49    2.000         2.560e-01     -4.2789375475      7.722888e-06      1.798125e+00     -1.290840e-04
[itstep]        50    2.000         2.560e-01     -4.2789492752      2.740802e-06      6.381427e-01     -4.581141e-05
[itstep]        51    2.000         2.560e-01     -4.2789535265      9.935261e-07      2.313233e-01     -1.660644e-05
[itstep]        52    2.000         2.560e-01     -4.2789550790      3.628314e-07      8.447827e-02     -6.064604e-06
[itstep]        53    2.000         2.560e-01     -4.2789556475      1.328465e-07      3.093073e-02     -2.220485e-06
[itstep]        54    2.000         2.560e-01     -4.2789558558      4.868599e-08      1.133559e-02     -8.137702e-07
[itstep]        55    2.000         2.560e-01     -4.2789559322      1.785056e-08      4.156157e-03     -2.983662e-07
[itstep]        56    2.000         2.560e-01     -4.2789559602      6.547531e-09      1.524466e-03     -1.094398e-07
[update_dt]  (i= 57) Reduced time step from   0.256000 to   0.204800
[update_E0]  (i= 57) Extrapolated energy ground state E0:  -4.287332
[itstep]        57    2.000         2.048e-01     -4.2789559705      2.403224e-09      5.595441e-04     -4.016909e-08
[itstep]        58    2.000         2.048e-01     -4.2831752627      9.860565e-04      5.605082e+02     -2.060201e-02
[itstep]        59    2.000         2.048e-01     -4.2840235259      1.980454e-04      1.125758e+02     -4.141910e-03
[itstep]        60    2.000         2.048e-01     -4.2842559194      5.424655e-05      3.083559e+01     -1.134734e-03
[itstep]        61    2.000         2.048e-01     -4.2843340392      1.823418e-05      1.036493e+01     -3.814448e-04
[itstep]        62    2.000         2.048e-01     -4.2843642931      7.061511e-06      4.014004e+00     -1.477240e-04
[itstep]        63    2.000         2.048e-01     -4.2843770084      2.967830e-06      1.687016e+00     -6.208625e-05
[itstep]        64    2.000         2.048e-01     -4.2843825733      1.298895e-06      7.383366e-01     -2.717265e-05
[itstep]        65    2.000         2.048e-01     -4.2843850541      5.790242e-07      3.291372e-01     -1.211309e-05
[itstep]        66    2.000         2.048e-01     -4.2843861689      2.601947e-07      1.479035e-01     -5.443233e-06
[itstep]        67    2.000         2.048e-01     -4.2843866715      1.173244e-07      6.669121e-02     -2.454410e-06
[itstep]        68    2.000         2.048e-01     -4.2843868985      5.297986e-08      3.011556e-02     -1.108331e-06
[itstep]        69    2.000         2.048e-01     -4.2843870011      2.393877e-08      1.360762e-02     -5.007957e-07
[itstep]        70    2.000         2.048e-01     -4.2843870474      1.081952e-08      6.150185e-03     -2.263428e-07
[itstep]        71    2.000         2.048e-01     -4.2843870684      4.890637e-09      2.780005e-03     -1.023114e-07
[itstep]        72    2.000         2.048e-01     -4.2843870779      2.210799e-09      1.256694e-03     -4.624961e-08
[update_dt]  (i= 73) Reduced time step from   0.204800 to   0.163840
[update_E0]  (i= 73) Extrapolated energy ground state E0:  -4.288155
[itstep]        73    2.000         1.638e-01     -4.2843870822      9.994297e-10      5.681100e-04     -2.090793e-08
[itstep]        74    2.000         1.638e-01     -4.2860659267      3.918517e-04      5.438035e+02     -1.024685e-02
[itstep]        75    2.000         1.638e-01     -4.2865062310      1.027292e-04      1.425655e+02     -2.687404e-03
[itstep]        76    2.000         1.638e-01     -4.2866509131      3.375291e-05      4.684157e+01     -8.830692e-04
[itstep]        77    2.000         1.638e-01     -4.2867062206      1.290228e-05      1.790551e+01     -3.375707e-04
[itstep]        78    2.000         1.638e-01     -4.2867300327      5.554871e-06      7.708933e+00     -1.453375e-04
[itstep]        79    2.000         1.638e-01     -4.2867412193      2.609581e-06      3.621522e+00     -6.827741e-05
[itstep]        80    2.000         1.638e-01     -4.2867467779      1.296702e-06      1.799536e+00     -3.392717e-05
[itstep]        81    2.000         1.638e-01     -4.2867496313      6.656141e-07      9.237251e-01     -1.741528e-05
[itstep]        82    2.000         1.638e-01     -4.2867511219      3.477378e-07      4.825832e-01     -9.098297e-06
[itstep]        83    2.000         1.638e-01     -4.2867519079      1.833468e-07      2.544448e-01     -4.797131e-06
[itstep]        84    2.000         1.638e-01     -4.2867523242      9.712653e-08      1.347901e-01     -2.541244e-06
[itstep]        85    2.000         1.638e-01     -4.2867525453      5.157485e-08      7.157448e-02     -1.349418e-06
[itstep]        86    2.000         1.638e-01     -4.2867526629      2.741955e-08      3.805226e-02     -7.174122e-07
[itstep]        87    2.000         1.638e-01     -4.2867527254      1.458631e-08      2.024257e-02     -3.816400e-07
[itstep]        88    2.000         1.638e-01     -4.2867527587      7.761808e-09      1.077167e-02     -2.030820e-07
[itstep]        89    2.000         1.638e-01     -4.2867527764      4.130921e-09      5.732804e-03     -1.080825e-07
[itstep]        90    2.000         1.638e-01     -4.2867527858      2.198692e-09      3.051298e-03     -5.752716e-08
