[conf]                N               5
[conf]                J            1.517
[conf]             beta           1.000
[conf]              dt0       4.000e-01
[conf]        eps_trunc       1.000e-04
[conf]           eps_dt       9.000e-02
[conf]          eps_tol       1.000e-03
[conf]             Dmax              10
[conf]           dt_red           0.800
[conf]         phys_gap       1.000e-03
[info]           i      MBD                dt                 E           rel_err           exp_err             slope
[itstep]         0    3.000         4.000e-01     -6.0468821886      1.000000e+00      1.000000e-03     -1.511914e+01
[itstep]         1    3.000         4.000e-01     -7.0086550096      1.590527e-01      6.212995e+03     -2.404432e+00
[itstep]         2    3.000         4.000e-01     -7.1515320776      2.038580e-02      7.963205e+02     -3.571927e-01
[itstep]         3    3.000         4.000e-01     -7.1775475101      3.637743e-03      1.420993e+02     -6.503858e-02
[itstep]         4    3.000         4.000e-01     -7.1895232234      1.668497e-03      6.517565e+01     -2.993928e-02
[itstep]         5    3.000         4.000e-01     -7.2003762406      1.509560e-03      5.896719e+01     -2.713254e-02
[itstep]         6    3.000         4.000e-01     -7.2109369385      1.466687e-03      5.729246e+01     -2.640174e-02
[itstep]         7    3.000         4.000e-01     -7.2208399518      1.373332e-03      5.364580e+01     -2.475753e-02
[itstep]         8    3.000         4.000e-01     -7.2298116224      1.242469e-03      4.853395e+01     -2.242918e-02
[itstep]         9    3.000         4.000e-01     -7.2377324938      1.095585e-03      4.279628e+01     -1.980218e-02
[itstep]        10    3.000         4.000e-01     -7.2445874379      9.471121e-04      3.699657e+01     -1.713736e-02
[itstep]        11    3.000         4.000e-01     -7.2504254135      8.058396e-04      3.147811e+01     -1.459494e-02
[itstep]        12    3.000         4.000e-01     -7.2553322469      6.767649e-04      2.643613e+01     -1.226708e-02
[itstep]        13    3.000         4.000e-01     -7.2594118925      5.622962e-04      2.196469e+01     -1.019911e-02
[itstep]        14    3.000         4.000e-01     -7.2627735770      4.630795e-04      1.808904e+01     -8.404211e-03
[itstep]        15    3.000         4.000e-01     -7.2655233893      3.786174e-04      1.478974e+01     -6.874531e-03
