[conf]                N               5
[conf]                J            2.483
[conf]             beta           1.000
[conf]              dt0       4.000e-01
[conf]        eps_trunc       1.000e-04
[conf]           eps_dt       9.000e-02
[conf]          eps_tol       1.000e-03
[conf]             Dmax              10
[conf]           dt_red           0.800
[conf]         phys_gap       1.000e-03
[info]           i      MBD                dt                 E           rel_err           exp_err             slope
[itstep]         0    3.000         4.000e-01     -9.7417588893      1.000000e+00      1.000000e-03     -2.818693e+01
[itstep]         1    3.000         4.000e-01    -10.2953410226      5.682569e-02      2.219753e+03     -1.383955e+00
[itstep]         2    3.000         4.000e-01    -10.3246108819      2.843020e-03      1.110555e+02     -7.317465e-02
[itstep]         3    3.000         4.000e-01    -10.3276381303      2.932070e-04      1.145340e+01     -7.568121e-03
[itstep]         4    3.000         4.000e-01    -10.3282052894      5.491663e-05      2.145181e+00     -1.417898e-03
[itstep]         5    3.000         4.000e-01    -10.3283971617      1.857751e-05      7.256839e-01     -4.796808e-04
[itstep]         6    3.000         4.000e-01    -10.3285222792      1.211393e-05      4.732002e-01     -3.127936e-04
[itstep]         7    3.000         4.000e-01    -10.3286387307      1.127476e-05      4.404201e-01     -2.911289e-04
[itstep]         8    3.000         4.000e-01    -10.3287584582      1.159180e-05      4.528045e-01     -2.993187e-04
[itstep]         9    3.000         4.000e-01    -10.3288840471      1.215915e-05      4.749666e-01     -3.139722e-04
[itstep]        10    3.000         4.000e-01    -10.3290160980      1.278463e-05      4.993995e-01     -3.301273e-04
[itstep]        11    3.000         4.000e-01    -10.3291547579      1.342431e-05      5.243871e-01     -3.466498e-04
[itstep]        12    3.000         4.000e-01    -10.3293000402      1.406527e-05      5.494245e-01     -3.632058e-04
[itstep]        13    3.000         4.000e-01    -10.3294518897      1.470085e-05      5.742518e-01     -3.796236e-04
[itstep]        14    3.000         4.000e-01    -10.3296101932      1.532545e-05      5.986506e-01     -3.957589e-04
[itstep]        15    3.000         4.000e-01    -10.3297747798      1.593347e-05      6.224013e-01     -4.114664e-04
