[conf]                N               3
[conf]                J            1.517
[conf]             beta           1.000
[conf]              dt0       4.000e-01
[conf]        eps_trunc       1.000e-04
[conf]           eps_dt       9.000e-02
[conf]          eps_tol       1.000e-03
[conf]             Dmax              10
[conf]           dt_red           0.800
[conf]         phys_gap       1.000e-03
[info]           i      MBD                dt                 E           rel_err           exp_err             slope
[itstep]         0    2.000         4.000e-01     -3.4742154827      1.000000e+00      1.000000e-03     -7.752942e+00
[itstep]         1    2.000         4.000e-01     -3.8057358366      9.542308e-02      3.727464e+03     -8.288009e-01
[itstep]         2    2.000         4.000e-01     -3.8853628696      2.092290e-02      8.173008e+02     -1.990676e-01
[itstep]         3    2.000         4.000e-01     -3.9417977717      1.452500e-02      5.673829e+02     -1.410873e-01
[itstep]         4    2.000         4.000e-01     -3.9839181393      1.068557e-02      4.174052e+02     -1.053009e-01
[itstep]         5    2.000         4.000e-01     -4.0129253265      7.281070e-03      2.844168e+02     -7.251797e-02
[itstep]         6    2.000         4.000e-01     -4.0317331195      4.686804e-03      1.830783e+02     -4.701948e-02
[itstep]         7    2.000         4.000e-01     -4.0434674577      2.910495e-03      1.136912e+02     -2.933585e-02
[itstep]         8    2.000         4.000e-01     -4.0506172265      1.768227e-03      6.907137e+01     -1.787442e-02
[itstep]         9    2.000         4.000e-01     -4.0549116387      1.060187e-03      4.141356e+01     -1.073603e-02
[itstep]        10    2.000         4.000e-01     -4.0574690072      6.306842e-04      2.463610e+01     -6.393421e-03
[itstep]        11    2.000         4.000e-01     -4.0589842114      3.734358e-04      1.458734e+01     -3.788011e-03
[itstep]        12    2.000         4.000e-01     -4.0598792469      2.205073e-04      8.613565e+00     -2.237589e-03
[itstep]        13    2.000         4.000e-01     -4.0604070073      1.299941e-04      5.077895e+00     -1.319401e-03
[itstep]        14    2.000         4.000e-01     -4.0607178767      7.656114e-05      2.990670e+00     -7.771735e-04
[itstep]        15    2.000         4.000e-01     -4.0609008766      4.506592e-05      1.760387e+00     -4.574999e-04
[itstep]        16    2.000         4.000e-01     -4.0610085644      2.651819e-05      1.035867e+00     -2.692193e-04
[itstep]        17    2.000         4.000e-01     -4.0610719205      1.560108e-05      6.094173e-01     -1.583903e-04
[itstep]        18    2.000         4.000e-01     -4.0611091902      9.177316e-06      3.584889e-01     -9.317435e-05
[itstep]        19    2.000         4.000e-01     -4.0611311128      5.398179e-06      2.108664e-01     -5.480649e-05
[itstep]        20    2.000         4.000e-01     -4.0611440075      3.175131e-06      1.240286e-01     -3.223656e-05
[itstep]        21    2.000         4.000e-01     -4.0611515917      1.867523e-06      7.295010e-02     -1.896070e-05
[itstep]        22    2.000         4.000e-01     -4.0611560526      1.098409e-06      4.290660e-02     -1.115201e-05
[itstep]        23    2.000         4.000e-01     -4.0611586762      6.460391e-07      2.523590e-02     -6.559164e-06
[itstep]        24    2.000         4.000e-01     -4.0611602193      3.799719e-07      1.484265e-02     -3.857815e-06
[itstep]        25    2.000         4.000e-01     -4.0611611269      2.234822e-07      8.729773e-03     -2.268992e-06
[itstep]        26    2.000         4.000e-01     -4.0611616607      1.314418e-07      5.134447e-03     -1.334516e-06
[itstep]        27    2.000         4.000e-01     -4.0611619747      7.730792e-08      3.019840e-03     -7.848999e-07
[itstep]        28    2.000         4.000e-01     -4.0611621594      4.546886e-08      1.776127e-03     -4.616410e-07
[itstep]        29    2.000         4.000e-01     -4.0611622680      2.674262e-08      1.044634e-03     -2.715153e-07
[update_dt]  (i= 30) Reduced time step from   0.400000 to   0.320000
[update_E0]  (i= 30) Extrapolated energy ground state E0:  -6.619861
[itstep]        30    2.000         3.200e-01     -4.0611623318      1.572873e-08      6.144036e-04     -1.596923e-07
[itstep]        31    2.000         3.200e-01     -4.0786293803      4.300997e-03      4.101751e+02     -5.458453e-02
[itstep]        32    2.000         3.200e-01     -4.0805841042      4.792600e-04      4.570580e+01     -6.108512e-03
[itstep]        33    2.000         3.200e-01     -4.0809503077      8.974290e-05      8.558550e+00     -1.144386e-03
[itstep]        34    2.000         3.200e-01     -4.0810408066      2.217594e-05      2.114862e+00     -2.828090e-04
[itstep]        35    2.000         3.200e-01     -4.0810659304      6.156217e-06      5.871026e-01     -7.851179e-05
[itstep]        36    2.000         3.200e-01     -4.0810731779      1.775892e-06      1.693623e-01     -2.264854e-05
[itstep]        37    2.000         3.200e-01     -4.0810752933      5.183560e-07      4.943428e-02     -6.610778e-06
[itstep]        38    2.000         3.200e-01     -4.0810759134      1.519359e-07      1.448974e-02     -1.937694e-06
[itstep]        39    2.000         3.200e-01     -4.0810760957      4.466910e-08      4.259978e-03     -5.696812e-07
[itstep]        40    2.000         3.200e-01     -4.0810761496      1.319845e-08      1.258703e-03     -1.683247e-07
[update_dt]  (i= 41) Reduced time step from   0.320000 to   0.256000
[update_E0]  (i= 41) Extrapolated energy ground state E0:  -4.094892
[itstep]        41    2.000         2.560e-01     -4.0810761657      3.941491e-09      3.758899e-04     -5.026727e-08
[itstep]        42    2.000         2.560e-01     -4.0887560388      1.881825e-03      4.381466e+02     -2.999950e-02
