[conf]                N               3
[conf]                J            1.241
[conf]             beta           1.000
[conf]              dt0       4.000e-01
[conf]        eps_trunc       1.000e-04
[conf]           eps_dt       9.000e-02
[conf]          eps_tol       1.000e-03
[conf]             Dmax              10
[conf]           dt_red           0.800
[conf]         phys_gap       1.000e-03
[info]           i      MBD                dt                 E           rel_err           exp_err             slope
[itstep]         0    2.000         4.000e-01     -3.1386598877      1.000000e+00      1.000000e-03     -6.613956e+00
[itstep]         1    2.000         4.000e-01     -3.5227597995      1.223770e-01      4.780353e+03     -9.602498e-01
[itstep]         2    2.000         4.000e-01     -3.6145175080      2.604711e-02      1.017465e+03     -2.293943e-01
[itstep]         3    2.000         4.000e-01     -3.6647430562      1.389551e-02      5.427932e+02     -1.255639e-01
[itstep]         4    2.000         4.000e-01     -3.6943779499      8.086486e-03      3.158784e+02     -7.408723e-02
[itstep]         5    2.000         4.000e-01     -3.7111982109      4.552935e-03      1.778490e+02     -4.205065e-02
[itstep]         6    2.000         4.000e-01     -3.7204655599      2.497131e-03      9.754419e+01     -2.316837e-02
[itstep]         7    2.000         4.000e-01     -3.7254845155      1.349013e-03      5.269581e+01     -1.254739e-02
[itstep]         8    2.000         4.000e-01     -3.7281771480      7.227603e-04      2.823283e+01     -6.731581e-03
[itstep]         9    2.000         4.000e-01     -3.7296144057      3.855122e-04      1.505907e+01     -3.593144e-03
[itstep]        10    2.000         4.000e-01     -3.7303794959      2.051392e-04      8.013250e+00     -1.912725e-03
[itstep]        11    2.000         4.000e-01     -3.7307861847      1.090208e-04      4.258623e+00     -1.016722e-03
[itstep]        12    2.000         4.000e-01     -3.7310021966      5.789984e-05      2.261713e+00     -5.400299e-04
[itstep]        13    2.000         4.000e-01     -3.7311168841      3.073905e-05      1.200744e+00     -2.867186e-04
[itstep]        14    2.000         4.000e-01     -3.7311777620      1.631627e-05      6.373544e-01     -1.521948e-04
[itstep]        15    2.000         4.000e-01     -3.7312100732      8.659799e-06      3.382734e-01     -8.077812e-05
[itstep]        16    2.000         4.000e-01     -3.7312272215      4.595909e-06      1.795277e-01     -4.287076e-05
[itstep]        17    2.000         4.000e-01     -3.7312363222      2.439062e-06      9.527585e-02     -2.275173e-05
[itstep]        18    2.000         4.000e-01     -3.7312411519      1.294397e-06      5.056239e-02     -1.207426e-05
[itstep]        19    2.000         4.000e-01     -3.7312437150      6.869244e-07      2.683298e-02     -6.407701e-06
[itstep]        20    2.000         4.000e-01     -3.7312450752      3.645427e-07      1.423995e-02     -3.400494e-06
[itstep]        21    2.000         4.000e-01     -3.7312457970      1.934581e-07      7.556957e-03     -1.804599e-06
[itstep]        22    2.000         4.000e-01     -3.7312461801      1.026656e-07      4.010375e-03     -9.576764e-07
[itstep]        23    2.000         4.000e-01     -3.7312463834      5.448321e-08      2.128250e-03     -5.082257e-07
[itstep]        24    2.000         4.000e-01     -3.7312464913      2.891347e-08      1.129432e-03     -2.697082e-07
[update_dt]  (i= 25) Reduced time step from   0.400000 to   0.320000
[update_E0]  (i= 25) Extrapolated energy ground state E0:  -5.977781
[itstep]        25    2.000         3.200e-01     -3.7312465485      1.534397e-08      5.993739e-04     -1.431303e-07
[itstep]        26    2.000         3.200e-01     -3.7407538997      2.548036e-03      2.429997e+02     -2.971047e-02
[itstep]        27    2.000         3.200e-01     -3.7419761916      3.267502e-04      3.116132e+01     -3.819662e-03
[itstep]        28    2.000         3.200e-01     -3.7422132276      6.334514e-05      6.041063e+00     -7.407375e-04
[itstep]        29    2.000         3.200e-01     -3.7422723988      1.581181e-05      1.507932e+00     -1.849099e-04
[itstep]        30    2.000         3.200e-01     -3.7422893894      4.540193e-06      4.329865e-01     -5.309575e-05
[itstep]        31    2.000         3.200e-01     -3.7422945738      1.385355e-06      1.321178e-01     -1.620125e-05
[itstep]        32    2.000         3.200e-01     -3.7422961928      4.326070e-07      4.125662e-02     -5.059196e-06
[itstep]        33    2.000         3.200e-01     -3.7422967027      1.362534e-07      1.299414e-02     -1.593440e-06
[itstep]        34    2.000         3.200e-01     -3.7422968639      4.306854e-08      4.107336e-03     -5.036727e-07
[itstep]        35    2.000         3.200e-01     -3.7422969149      1.364613e-08      1.301396e-03     -1.595871e-07
[update_dt]  (i= 36) Reduced time step from   0.320000 to   0.256000
[update_E0]  (i= 36) Extrapolated energy ground state E0:  -3.749963
[itstep]        36    2.000         2.560e-01     -3.7422969312      4.336800e-09      4.135895e-04     -5.071748e-08
[itstep]        37    2.000         2.560e-01     -3.7463683648      1.087950e-03      2.533082e+02     -1.590404e-02
[itstep]        38    2.000         2.560e-01     -3.7471008917      1.955299e-04      4.552535e+01     -2.861433e-03
[itstep]        39    2.000         2.560e-01     -3.7472792335      4.759462e-05      1.108149e+01     -6.966478e-04
[itstep]        40    2.000         2.560e-01     -3.7473321554      1.412274e-05      3.288206e+00     -2.067259e-04
[itstep]        41    2.000         2.560e-01     -3.7473502471      4.827901e-06      1.124083e+00     -7.067090e-05
[itstep]        42    2.000         2.560e-01     -3.7473569779      1.796158e-06      4.182005e-01     -2.629231e-05
[itstep]        43    2.000         2.560e-01     -3.7473595923      6.976576e-07      1.624361e-01     -1.021239e-05
[itstep]        44    2.000         2.560e-01     -3.7473606283      2.764564e-07      6.436752e-02     -4.046803e-06
[itstep]        45    2.000         2.560e-01     -3.7473610425      1.105261e-07      2.573387e-02     -1.617896e-06
[itstep]        46    2.000         2.560e-01     -3.7473612087      4.435878e-08      1.032808e-02     -6.493296e-07
[itstep]        47    2.000         2.560e-01     -3.7473612755      1.783273e-08      4.152007e-03     -2.610379e-07
[itstep]        48    2.000         2.560e-01     -3.7473613024      7.174134e-09      1.670358e-03     -1.050159e-07
[update_dt]  (i= 49) Reduced time step from   0.256000 to   0.204800
[update_E0]  (i= 49) Extrapolated energy ground state E0:  -3.750875
[itstep]        49    2.000         2.048e-01     -3.7473613132      2.887090e-09      6.722031e-04     -4.226161e-08
[itstep]        50    2.000         2.048e-01     -3.7490097796      4.399006e-04      2.500545e+02     -8.049152e-03
[itstep]        51    2.000         2.048e-01     -3.7494056183      1.055849e-04      6.001805e+01     -1.932806e-03
[itstep]        52    2.000         2.048e-01     -3.7495243821      3.167536e-05      1.800536e+01     -5.799013e-04
[itstep]        53    2.000         2.048e-01     -3.7495655750      1.098616e-05      6.244909e+00     -2.011371e-04
[itstep]        54    2.000         2.048e-01     -3.7495816220      4.279693e-06      2.432724e+00     -7.835445e-05
[itstep]        55    2.000         2.048e-01     -3.7495884475      1.820340e-06      1.034743e+00     -3.332770e-05
[itstep]        56    2.000         2.048e-01     -3.7495915247      8.206869e-07      4.665065e-01     -1.502558e-05
[itstep]        57    2.000         2.048e-01     -3.7495929608      3.830076e-07      2.177146e-01     -7.012314e-06
[itstep]        58    2.000         2.048e-01     -3.7495936440      1.821929e-07      1.035647e-01     -3.335690e-06
[itstep]        59    2.000         2.048e-01     -3.7495939723      8.755025e-08      4.976655e-02     -1.602919e-06
[itstep]        60    2.000         2.048e-01     -3.7495941308      4.229296e-08      2.404076e-02     -7.743233e-07
[itstep]        61    2.000         2.048e-01     -3.7495942077      2.048572e-08      1.164478e-02     -3.750642e-07
[itstep]        62    2.000         2.048e-01     -3.7495942449      9.936478e-09      5.648234e-03     -1.819227e-07
[itstep]        63    2.000         2.048e-01     -3.7495942630      4.823009e-09      2.741563e-03     -8.830238e-08
[itstep]        64    2.000         2.048e-01     -3.7495942718      2.341845e-09      1.331185e-03     -4.287583e-08
[update_dt]  (i= 65) Reduced time step from   0.204800 to   0.163840
[update_E0]  (i= 65) Extrapolated energy ground state E0:  -3.751143
[itstep]        65    2.000         1.638e-01     -3.7495942760      1.137302e-09      6.464816e-04     -2.082238e-08
[itstep]        66    2.000         1.638e-01     -3.7502334411      1.704625e-04      2.365642e+02     -3.901154e-03
[itstep]        67    2.000         1.638e-01     -3.7504296103      5.230852e-05      7.259265e+01     -1.197322e-03
[itstep]        68    2.000         1.638e-01     -3.7505005414      1.891279e-05      2.624676e+01     -4.329289e-04
[itstep]        69    2.000         1.638e-01     -3.7505290639      7.605008e-06      1.055407e+01     -1.740880e-04
[itstep]        70    2.000         1.638e-01     -3.7505415540      3.330217e-06      4.621605e+00     -7.623338e-05
[itstep]        71    2.000         1.638e-01     -3.7505474371      1.568594e-06      2.176862e+00     -3.590746e-05
[itstep]        72    2.000         1.638e-01     -3.7505503756      7.834883e-07      1.087308e+00     -1.793524e-05
[itstep]        73    2.000         1.638e-01     -3.7505519080      4.085825e-07      5.670221e-01     -9.353084e-06
[itstep]        74    2.000         1.638e-01     -3.7505527309      2.194001e-07      3.044788e-01     -5.022408e-06
[itstep]        75    2.000         1.638e-01     -3.7505531811      1.200428e-07      1.665929e-01     -2.747967e-06
[itstep]        76    2.000         1.638e-01     -3.7505534303      6.644399e-08      9.220955e-02     -1.521006e-06
[itstep]        77    2.000         1.638e-01     -3.7505535692      3.703365e-08      5.139451e-02     -8.477580e-07
[itstep]        78    2.000         1.638e-01     -3.7505536470      2.072665e-08      2.876401e-02     -4.744654e-07
[itstep]        79    2.000         1.638e-01     -3.7505536906      1.162827e-08      1.613747e-02     -2.661894e-07
[itstep]        80    2.000         1.638e-01     -3.7505537151      6.533078e-09      9.066467e-03     -1.495524e-07
[itstep]        81    2.000         1.638e-01     -3.7505537288      3.673495e-09      5.097998e-03     -8.409203e-08
[itstep]        82    2.000         1.638e-01     -3.7505537366      2.066572e-09      2.867944e-03     -4.730706e-08
[itstep]        83    2.000         1.638e-01     -3.7505537410      1.162902e-09      1.613850e-03     -2.662064e-08
[update_dt]  (i= 84) Reduced time step from   0.163840 to   0.131072
[update_E0]  (i= 84) Extrapolated energy ground state E0:  -3.751219
[itstep]        84    2.000         1.311e-01     -3.7505537434      6.544962e-10      9.082959e-04     -1.498244e-08
[itstep]        85    2.000         1.311e-01     -3.7507933455      6.388446e-05      2.164490e+02     -1.828019e-03
[itstep]        86    2.000         1.311e-01     -3.7508838155      2.412021e-05      8.172245e+01     -6.902307e-04
[itstep]        87    2.000         1.311e-01     -3.7509223094      1.026262e-05      3.477111e+01     -2.936852e-04
[itstep]        88    2.000         1.311e-01     -3.7509400457      4.728540e-06      1.602092e+01     -1.353179e-04
[itstep]        89    2.000         1.311e-01     -3.7509487354      2.316658e-06      7.849144e+00     -6.629674e-05
[itstep]        90    2.000         1.311e-01     -3.7509532264      1.197300e-06      4.056609e+00     -3.426368e-05
[itstep]        91    2.000         1.311e-01     -3.7509556605      6.489346e-07      2.198676e+00     -1.857089e-05
[itstep]        92    2.000         1.311e-01     -3.7509570346      3.663210e-07      1.241144e+00     -1.048320e-05
[itstep]        93    2.000         1.311e-01     -3.7509578360      2.136711e-07      7.239460e-01     -6.114740e-06
[itstep]        94    2.000         1.311e-01     -3.7509583153      1.277739e-07      4.329147e-01     -3.656574e-06
[itstep]        95    2.000         1.311e-01     -3.7509586071      7.779975e-08      2.635958e-01     -2.226437e-06
[itstep]        96    2.000         1.311e-01     -3.7509587871      4.797337e-08      1.625401e-01     -1.372880e-06
[itstep]        97    2.000         1.311e-01     -3.7509588990      2.983764e-08      1.010938e-01     -8.538798e-07
[itstep]        98    2.000         1.311e-01     -3.7509589690      1.866538e-08      6.324077e-02     -5.341574e-07
[itstep]        99    2.000         1.311e-01     -3.7509590130      1.172116e-08      3.971283e-02     -3.354308e-07
[itstep]       100    2.000         1.311e-01     -3.7509590407      7.378972e-09      2.500093e-02     -2.111681e-07
[itstep]       101    2.000         1.311e-01     -3.7509590581      4.653020e-09      1.576504e-02     -1.331580e-07
[itstep]       102    2.000         1.311e-01     -3.7509590691      2.937235e-09      9.951739e-03     -8.405646e-08
[itstep]       103    2.000         1.311e-01     -3.7509590761      1.855432e-09      6.286447e-03     -5.309790e-08
[itstep]       104    2.000         1.311e-01     -3.7509590805      1.172593e-09      3.972898e-03     -3.355672e-08
[itstep]       105    2.000         1.311e-01     -3.7509590833      7.412706e-10      2.511523e-03     -2.121335e-08
[itstep]       106    2.000         1.311e-01     -3.7509590850      4.686940e-10      1.587997e-03     -1.341287e-08
[itstep]       107    2.000         1.311e-01     -3.7509590861      2.963831e-10      1.004185e-03     -8.481758e-09
[update_dt]  (i=108) Reduced time step from   0.131072 to   0.104858
[update_E0]  (i=108) Extrapolated energy ground state E0:  -3.751240
[itstep]       108    2.000         1.049e-01     -3.7509590868      1.874365e-10      6.350594e-04     -5.363972e-09
[itstep]       109    2.000         1.049e-01     -3.7510465473      2.331682e-05      1.928722e+02     -8.340876e-04
[itstep]       110    2.000         1.049e-01     -3.7510858487      1.047744e-05      8.666739e+01     -3.748072e-04
[itstep]       111    2.000         1.049e-01     -3.7511050867      5.128670e-06      4.242337e+01     -1.834687e-04
[itstep]       112    2.000         1.049e-01     -3.7511150889      2.666459e-06      2.205643e+01     -9.538811e-05
[itstep]       113    2.000         1.049e-01     -3.7511205312      1.450860e-06      1.200123e+01     -5.190222e-05
[itstep]       114    2.000         1.049e-01     -3.7511236078      8.201738e-07      6.784319e+00     -2.934047e-05
[itstep]       115    2.000         1.049e-01     -3.7511254080      4.798982e-07      3.969625e+00     -1.716764e-05
[itstep]       116    2.000         1.049e-01     -3.7511264951      2.898141e-07      2.397286e+00     -1.036767e-05
[itstep]       117    2.000         1.049e-01     -3.7511271706      1.800668e-07      1.489477e+00     -6.441624e-06
[itstep]       118    2.000         1.049e-01     -3.7511276007      1.146697e-07      9.485258e-01     -4.102142e-06
[itstep]       119    2.000         1.049e-01     -3.7511278803      7.453809e-08      6.165647e-01     -2.666492e-06
[itstep]       120    2.000         1.049e-01     -3.7511280651      4.925663e-08      4.074413e-01     -1.762084e-06
[itstep]       121    2.000         1.049e-01     -3.7511281887      3.297014e-08      2.727226e-01     -1.179459e-06
[itstep]       122    2.000         1.049e-01     -3.7511282723      2.228457e-08      1.843337e-01     -7.971982e-07
[itstep]       123    2.000         1.049e-01     -3.7511283292      1.517173e-08      1.254976e-01     -5.427466e-07
[itstep]       124    2.000         1.049e-01     -3.7511283682      1.038425e-08      8.589653e-02     -3.714816e-07
[itstep]       125    2.000         1.049e-01     -3.7511283950      7.134966e-09      5.901905e-02     -2.552430e-07
[itstep]       126    2.000         1.049e-01     -3.7511284134      4.916041e-09      4.066454e-02     -1.758642e-07
[itstep]       127    2.000         1.049e-01     -3.7511284261      3.393941e-09      2.807403e-02     -1.214133e-07
[itstep]       128    2.000         1.049e-01     -3.7511284349      2.346438e-09      1.940928e-02     -8.394042e-08
[itstep]       129    2.000         1.049e-01     -3.7511284410      1.623879e-09      1.343241e-02     -5.809190e-08
[itstep]       130    2.000         1.049e-01     -3.7511284452      1.124626e-09      9.302686e-03     -4.023185e-08
[itstep]       131    2.000         1.049e-01     -3.7511284482      7.792640e-10      6.445921e-03     -2.787704e-08
